fips,name_16,County,LessThanHighSchool,AtLeastHighSchool,AtLeastBS,GraduateDegreee,School_Enrollment,MedianEarnings,WhitePopulation,AfricanAmericanPopulation,NativeAmericanPopulation,AsianAmericanPopulatyion,OtherRaces,LatinoPopulation,ChildrenUnder6LivinginPoverty,Adults65andOlderLivinginPoverty,TotalPopulation,PreschoolEnrollmentRatioenrolledages3and4,PovertyRatebelowfederalpoverty.hreshold,GiniCoefficient,ChildPovertylivinginfamiliesbelowthepovertyline,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity.percent,Adult.obesity.population,Diabetes.percent,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins
1001,Autauga,"Autauga County, Alabama",14.7,85.3,21.7,7.1,78.8,30043.21365,77.55,17.7,0.4,0.75,1.35,2.2,21.15,8.75,52077.5,42.3,10.45,0.405,14,29.4,16.35,28.9,0.5,11.2,13.55,Alabama,77.55,17.7,2.2,0.75,0.4,1.35,78.3,0.63346775,36.2,-86.6444901,32.5363818,5.1,3.6,0.09,39,0.301,0.217,0.305,15884,0.118,446.9,181.1,0.139,0.065,302.91,3.57,69.6,9,-0.068757258,-0.104695712,0.534234394,2.44E-05,2.44E-05,3.56E-05,2.52E-04,-0.691500893,,,,,,,,,,,,,,,,,,,,,,,,,,"(31.7,33.8]","(-87.2,-84.5]",,
1003,Baldwin,"Baldwin County, Alabama",12.4,87.6,26.8,8.7,74.95,26630.5654,84.3,9.55,0.6,0.65,1.25,3.65,20.9,5.2,177131,43,12.05,0.439,19.1,31.1,17.4,27.4,0.85,12.35,10.9,Alabama,84.3,9.55,3.65,0.65,0.6,1.25,84.95,0.721336,41,-87.7460666,30.6592183,3.3,3.8,0.09,46.4,0.279,0.206,0.266,47117,0.118,301.5,188.1,0.166,0.068,213.3,4.18,76.2,6.4,-0.314480369,0.073220388,0.402143866,9.15E-06,9.15E-06,3.15E-05,1.45E-04,-0.947753893,41.925,,,,,,663.5,770.25,557.5,513,623.5,402.75,803.5,897,710,657.75,770.25,545.25,677.75,787.5,568.25,1003,19.08333333,,"(18.5,25.2]","[19.6,31.7]","(-90.4,-87.2]",,"(38.9,105]"
1005,Barbour,"Barbour County, Alabama",28.1,71.9,13.5,6,67.85,20663.4527,47.4,46.5,0.35,0.25,0.9,4.7,37.15,21.3,28560,32.5,24.85,0.464,34.15,26.15,14.9,20.1,2.05,8.95,27.9,Alabama,47.4,46.5,4.7,0.25,0.35,0.9,47.65,0.4432095,38,-85.4054562,31.8706701,4.8,4.3,0.12,73.8,0.559,0.251,0.373,10653,0.142,873.9,388.1,0.189,0.112,154.33,5.13,52.7,12.8,-2.048168342,-2.004164717,0.747505657,-1.15E-04,1.15E-04,3.07E-04,9.71E-04,0.650873936,173.4,,,,,,632,764,501,470,601,339,783,903,663,627,768,485,646,779,512,1005,17.33333333,,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]",,"(167,216]"
1007,Bibb,"Bibb County, Alabama",25.5,74.5,10,2.6,67.3,26875.00381,75.2,22.5,0.2,0.15,0.6,1.35,21.55,12.4,22189.5,20.9,12.25,0.411,17.9,20.25,13.55,22.65,0.6,18.05,25,Alabama,75.2,22.5,1.35,0.15,0.2,0.6,75.35,0.6163535,38.3,-87.1271475,33.0158929,4.7,5.1,0.13,49.3,0.393,0.259,0.343,7611,0.111,465.6,106.7,0.16,0.076,254.24,7.65,98.1,11.2,-1.889122744,-1.031048506,0.895458556,2.26E-05,2.26E-05,1.40E-04,4.13E-04,0.002645877,144.8,5757.5,1625.5,1375.5,1427,1329.5,,,,,,,,,,,,,,,,1007,,1462.405,,"(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(105,167]"
1009,Blount,"Blount County, Alabama",25.3,74.7,12.5,4.2,72.5,27774.18032,89.15,1.05,0.6,0.3,1.2,7.7,16.95,10.8,57063,29,12.2,0.422,15.8,24.1,16.15,24.8,1.2,15.85,17.9,Alabama,89.15,1.05,7.7,0.3,0.6,1.2,89.45,0.8010005,38.3,-86.5672464,33.9774479,5.9,3.9,0.08,47.6,0.253,0.213,0.304,17347,0.14,175.1,92.8,0.181,0.062,164.46,4.08,89.3,6.6,-1.092822644,-0.401257928,0.720653053,6.23E-05,6.23E-05,6.31E-05,3.85E-04,-0.19935587,246,5583,1545.5,1348,1446,1243.5,,,,,,,,,,,,,,,,1009,,1418.082,,"(33.8,35.6]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(216,259]"
1011,Bullock,"Bullock County, Alabama",25.3,74.7,12,3.7,69.55,20651.69397,22.05,72.45,0.15,0.25,0.35,4.7,54.35,24.25,10915.5,51.6,28.8,0.533,50.85,19.05,15.45,23.55,5.15,7.75,29.05,Alabama,22.05,72.45,4.7,0.25,0.15,0.35,22.3,0.57575025,38.7,-85.7172613,32.1017589,4.2,,0.14,85.1,0.654,0.378,0.421,4595,0.175,1403.9,409.1,0.157,0.134,333.96,,102.5,,-3.582386625,-3.121468431,1.089498007,-4.38E-04,4.38E-04,7.39E-04,0.001946162,3.680545189,142.95,5359.5,1377.5,1414,1420,1148,,,,,,,,,,,,,,,,1011,,1361.313,,"(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(105,167]"
1013,Butler,"Butler County, Alabama",25.2,74.8,11,3.2,74.35,22321.77111,55.4,42.25,0.25,0.7,0.8,0.65,34.2,21.25,20568,34,23.5,0.463,30.65,21.5,16.85,26.55,2.1,9.6,23.45,Alabama,55.4,42.25,0.65,0.7,0.25,0.8,56.1,0.48558375,39.7,-86.6819689,31.751667,3.9,3.5,0.1,61.5,0.494,0.305,0.383,7878,0.16,639.2,219.8,0.164,0.109,452.92,9.58,70.8,10.8,-2.06746854,-1.771502242,0.641033619,-9.43E-05,9.43E-05,2.21E-04,6.60E-04,0.212881453,104.2,5736,1479,1555,1401,1301,635,756,513,473,595,352,784,896,672,629,760,499,649,771,527,1013,17.5,1456.944,"(16.6,18.5]","(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
1015,Calhoun,"Calhoun County, Alabama",21.5,78.5,16.1,6.4,74.65,24610.49683,74.65,19.9,0.45,0.75,1.4,2.85,30.4,11.1,115770.5,37.7,18.5,0.453,25.8,28.3,15.75,23.55,0.45,11.65,20.3,Alabama,74.65,19.9,2.85,0.75,0.45,1.4,75.4,0.597948,38.1,-85.8225133,33.7717061,5.2,5.1,0.09,50.7,0.388,0.244,0.332,38436,0.139,663,185.4,0.169,0.076,553.33,11.31,78.4,8,-0.535635325,-1.07939551,0.546792588,-1.48E-05,1.48E-05,6.21E-05,1.84E-04,-0.663589713,183.2,5071.5,1396,1224.5,1353.5,1097.5,,,,,,,,,,,,,,,,1015,,1288.161,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
1017,Chambers,"Chambers County, Alabama",28.2,71.8,10.8,3.7,73.85,23437.68032,58.95,37.95,0.2,0.35,1.05,1.45,31.85,14.5,34459.5,63.2,18.15,0.425,26.1,22.4,14.35,26.15,0.4,12.55,24.15,Alabama,58.95,37.95,1.45,0.35,0.2,1.05,59.3,0.49186725,40.1,-85.3918121,32.9179433,5,4.3,0.12,62.6,0.516,0.241,0.354,12199,0.15,766.1,318.2,0.179,0.093,575.7,8.21,77.5,6.7,-2.26875538,-1.43784694,0.794081821,-3.68E-05,3.68E-05,1.82E-04,5.23E-04,0.037368526,200.45,5231.5,1451,1310.5,1348,1122,616,736.5,495.5,446,565.5,326.5,778,887,669,609.5,741,478.5,626,748,504,1017,16.44444444,1328.801,"(14.9,16.6]","(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
1019,Cherokee,"Cherokee County, Alabama",26.6,73.4,10.5,4.2,68.8,26915.90349,92,5.1,0.55,0.15,1,1.2,20.7,10.45,25208,24.2,16.1,0.439,24.2,24.6,15.55,20.25,1.4,13.25,25,Alabama,92,5.1,1.2,0.15,0.55,1,92.15,0.8492775,43.9,-85.6542417,34.0695153,6.1,5.2,0.09,52.2,0.258,0.244,0.314,7915,0.136,268.6,119.8,0.172,0.071,335.88,,80.9,,-1.445948308,-0.785579004,0.752514071,3.57E-05,3.57E-05,5.83E-05,1.78E-04,-0.301576558,181.35,5203.5,1470,1260.5,1325,1148,,,,,,,,,,,,,,,,1019,,1321.689,,"(33.8,35.6]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(167,216]"
1021,Chilton,"Chilton County, Alabama",24.1,75.9,12.2,4.8,69.25,26935.60413,82.15,10,0.3,0.2,1.1,6.25,27.15,11.95,42957.5,42.1,17.8,0.451,25.35,22.75,14,23,0.85,18.6,20.75,Alabama,82.15,10,6.25,0.2,0.3,1.1,82.35,0.6889025,37.2,-86.7266275,32.8540595,4.6,4.9,0.1,57.7,0.299,0.201,0.383,16453,0.125,321.2,98.7,0.202,0.065,692.29,4.68,99.3,9.9,-0.938780947,-1.039926308,0.699720602,-2.88E-06,2.88E-06,9.63E-05,3.50E-04,-0.448200673,174.8,,,,,,,,,,,,,,,,,,,,,1021,,,,"(31.7,33.8]","(-87.2,-84.5]",,"(167,216]"
1023,Choctaw,"Choctaw County, Alabama",28.9,71.1,10.9,4.1,78.8,22625.57683,55.25,43.35,0.05,0.1,0.65,0.55,21.95,20.6,14044,56.9,20.75,0.457,28.1,29.05,12.2,20.3,2.55,17.7,18.1,Alabama,55.25,43.35,0.55,0.1,0.05,0.65,55.35,0.49325225,43.2,-88.2488874,31.9910082,5.6,4.6,0.12,45.8,0.457,0.199,0.389,5463,0.173,462.9,258,0.176,0.09,111.71,,80.7,,-1.082054298,-1.557260648,0.938482855,-4.96E-07,4.96E-07,2.20E-04,8.81E-04,0.127267759,14,5294,1474,1340,1369,1111,,,,,,,,,,,,,,,,1023,,1344.676,,"(31.7,33.8]","(-90.4,-87.2]","(1.27e+03,1.39e+03]","[-12.3,38.9]"
1025,Clarke,"Clarke County, Alabama",23.9,76.1,13.5,4.9,75.6,25995.8473,54.4,42.65,0.9,0.65,0.7,0.75,31.45,24.15,26135.5,46.5,27.65,0.523,35.65,26.35,13.15,22.2,2.05,11.55,24.75,Alabama,54.4,42.65,0.75,0.65,0.9,0.7,55.05,0.47806675,38.9,-87.8186244,31.6855211,4.4,3,0.13,41.9,0.481,0.137,0.36,9409,0.157,821.2,117.8,0.184,0.121,491.47,8.11,72.3,9.5,-1.846798034,-1.641599073,1.032216461,4.85E-06,4.85E-06,2.69E-04,9.69E-04,0.380586385,97.56666667,,,,,,644.6666667,761,529,481.6666667,595.6666667,367.6666667,796,902.3333333,689.6666667,642.3333333,766,518.3333333,655.6666667,775.3333333,536.3333333,1025,18.03703704,,"(16.6,18.5]","[19.6,31.7]","(-90.4,-87.2]",,"(38.9,105]"
1027,Clay,"Clay County, Alabama",28.6,71.4,9.5,3.1,73.95,27404.52222,80.35,14.55,0.35,0.1,1.95,2.8,28.85,16,13850.5,55.3,18.25,0.421,21.4,23,11.95,17.65,3.15,15.9,28.35,Alabama,80.35,14.55,2.8,0.1,0.35,1.95,80.45,0.66796,41.3,-85.862051,33.2678085,6,5.3,0.11,52.1,0.348,0.262,0.353,4889,0.147,454.5,143.7,0.192,0.093,287.42,,65.5,,-1.540341524,-1.331538415,0.819789118,-1.65E-05,1.65E-05,1.64E-04,7.85E-04,-0.0731638,311.5,5815,1634,1393,1506,1282,608,735,480,440,563,316,768,886,649,602,738,466,619,751,487,1027,16,1477.01,"(14.9,16.6]","(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(259,317]"
1029,Cleburne,"Cleburne County, Alabama",29.7,70.3,8.4,3.7,71.1,21506.56953,92.7,4.35,0.35,0.1,1,1.55,15.7,15.05,14775.5,58.7,16.75,0.424,21.45,23.6,15.6,19.65,2.45,17.2,21.55,Alabama,92.7,4.35,1.55,0.1,0.35,1,92.8,0.86157475,40.1,-85.516109,33.671981,5.9,5.2,0.09,53.5,0.304,0.189,0.313,4625,0.133,269.6,123.2,0.167,0.069,284.18,11.67,85,,-0.799299383,-1.040111959,0.820063436,2.80E-05,2.80E-05,1.03E-04,4.25E-04,-0.153121482,259.1,5505,1557,1336,1469,1143,602,722,482,428,544,312,768,877,659,596,726,467,613,738,488,1029,15.66666667,1398.27,"(14.9,16.6]","(31.7,33.8]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(259,317]"
